VARIAN_NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA
HOTICE BON BON SPARKLE,EXHALIA,9.09,5.0,85.91,CEWE,EDT,50.0,65000
MYKONOS XOXO ROSY,ROSE+PINK PEPPER,21.0,5.0,74.0,CEWE,EDP,50.0,129000
VERBENA PURPLE BEAUTY,YANTI S19,3.92,10.0,86.08,CEWE,BM,100.0,40000
VERBENA PRETTY BLOSSOM,NAVINA PRIMA,4.35,10.0,85.65,CEWE,BM,100.0,50000
VERBENA BACCA ROUGE,ROUGH BACCA,3.13,10.0,86.87,CEWE,EDP,100.0,129000
VERBENA FOREVER,CHEERS WITH ME,3.72,10.0,86.28,CEWE,BM,100.0,40000
VERBENA AMOUR,CHIFON,5.0,10.0,85.0,CEWE,BM,100.0,30000
VERBENA RADIANT,YANTI S19,7.84,10.0,82.16,CEWE,EDT,100.0,124900
VERBENA FIRST LOVE,SWEET BABY,7.41,10.0,82.59,CEWE,EDT,100.0,90000
VERBENA ADMIRE,NAVINA PRIMA,8.7,10.0,81.3,CEWE,EDT,100.0,90000
VERBENA BLUSH,LEONA,8.0,10.0,82.0,CEWE,EDT,100.0,99900
VERBENA BLOOMS,BOMBSHELL,7.95,10.0,82.05,CEWE,EDT,100.0,82500
VERBENA LUMINOUS,ADORABLE MIDNIGHT,5.97,10.0,84.03,CEWE,EDT,100.0,79900
MYKONOS ZORA,EMBRACER+VANILLA ,32.68,10.0,57.32,CEWE,EDP,100.0,249000
MYKONOS SENJA,WHITE MANTRA+VANILLA,28.5,10.0,61.5,CEWE,EDP,100.0,269000
MYKONOS SANSA,SECRET SPELL,28.36,10.0,61.64,CEWE,EDP,100.0,249000
HOT ICE AQUA VICTORY,VICTORY,20.83,10.0,69.17,UNISEX,EDT,100.0,175500
HOT ICE SAVIOR,CAST AWAY,8.36,10.0,81.64,UNISEX,EDT,100.0,220000
VERBENA ACQUA,VICTORY FM,8.33,10.0,81.67,CEWE,EDT,100.0,105000
VERBENA ALLURE,AGGRESSIVE BOY,5.03,10.0,84.97,COWO,EDT,100.0,140000
VERBENA VICTORIOUS,INVITAS MOOD,8.0,10.0,82.0,UNISEX,EDT,100.0,87500
VERBENA ORCHID,DE ORCHID,4.3,10.0,85.7,COWO,EDT,100.0,105000
LELIDO MATRIX,BASE ,12.2,10.0,77.8,COWO,EDT,100.0,139900
LELIDO MAN IN BLUE,NAZRIL,21.05,10.0,68.95,COWO,EDT,100.0,165000
NAOMI FRUIT PASSION,GIRLS DAY OUT,3.39,10.0,86.61,CEWE,BS,100.0,150000
NAOMI FLORAL PEACH,SWEETY IMPRESS,3.92,10.0,86.08,CEWE,BS,100.0,155000
NAOMI AMBER ROMANCE,AMBROSIA,3.19,10.0,86.81,CEWE,BS,100.0,150000
NAOMI HIDDEN LOVE,STAR LIGHT,3.14,10.0,86.86,CEWE,BS,100.0,155000
NAOMI TENDER MUSK,WHISPER ROMA,3.79,10.0,86.21,CEWE,BS,100.0,155000
NAOMI SWEET VANILLA,SWEET VANILLA PERFECT,4.74,10.0,85.26,CEWE,BS,100.0,150000
NAOMI KISS ME BERRIES,PURE PURITY,5.0,10.0,85.0,CEWE,BS,100.0,150000
NAOMI JUICE PEAR,GLOW UP,3.0,10.0,87.0,CEWE,BS,100.0,150000
MYKONOS MOROCCAN VANILLA,MANZIRA,17.91,10.0,72.09,CEWE,EDP,100.0,259000
MADAM GIE ALTHEA,SIVIRA,18.45,5.0,76.55,CEWE,EDP,30.0,41500
MADAM GIE GUINEVERE,LIBERICA,6.62,5.0,88.38,CEWE,EDP,30.0,38500
MADAM GIE PERCY,BE FABULOUS,14.91,5.0,80.09,CEWE,EDP,30.0,41500
MADAM GIE JULIETEE,EXPLOISON,13.14,5.0,81.86,CEWE,EDP,30.0,30900
MYKONOS BLAZE,INVITAS MOOD,28.3,10.0,61.7,UNISEX,EDP,100.0,164000
HMNS  DOS,DROP OF SUNSHINE+TAGAT,12.5,22.5,65.0,UNISEX,BM,250.0,145000
MYKONOS DOLCE CHERRY,DISCOVER+FESTIVAL+VANILLA,34.91,5.0,60.09,CEWE,EDP,50.0,151500
MYKONAS BLACK OPERA,LOVE ENTHUSIAST,25.41,10.0,64.59,CEWE,EDP,100.0,300600
